year,month,SPEI
1986,12,-1.4337430346109326
1987,1,-0.38370837476972236
1987,2,0.2032870441317922
1987,3,0.781337289489558
1987,4,0.6310520549731818
1987,5,-0.4599118668383899
1987,6,-1.0348804838683383
1987,7,-0.7909809745838701
1987,8,0.7168878201470517
1987,9,1.3000697109506185
1987,10,1.4577111788584751
1987,11,0.9657528489215671
1987,12,0.2718118326024226
1988,1,0.19631787280522997
1988,2,-1.1785805441888522
1988,3,-1.4470276007108038
1988,4,0.25405086486574613
1988,5,0.5643296108511714
1988,6,0.06200495606384193
1988,7,0.10182330980289864
1988,8,-0.2709191216028954
1988,9,0.19219700353771665
1988,10,-0.3111416227848514
1988,11,-0.5224452958150606
1988,12,-1.1759119320497562
1989,1,-1.1732150181776684
1989,2,-0.9199129754316178
1989,3,-1.2894128042517812
1989,4,-1.8052905329398914
1989,5,-1.868803795301521
1989,6,-1.1001959927615383
1989,7,0.28939190400886877
1989,8,-0.3532020085100833
1989,9,-0.18221738208969826
1989,10,-1.1272760886222468
1989,11,0.09599980436590098
1989,12,-0.9377856828445198
1990,1,-0.6770144932261694
1990,2,1.0012188004369162
1990,3,0.8007645380589837
1990,4,1.3659647532564927
1990,5,1.1115158382106
1990,6,1.2949469668563232
1990,7,1.0492038996397073
1990,8,0.6536854203687703
1990,9,0.5812054973181826
1990,10,-0.20881478341674953
1990,11,-0.3602374345848482
1990,12,-1.2668283473809485
1991,1,0.12003948548231957
1991,2,0.18166217251666963
1991,3,-0.28924374378454165
1991,4,0.17568978953031514
1991,5,-0.4966764375030568
1991,6,-0.0800513213453105
1991,7,1.4147212377117333
1991,8,0.42016906046723945
1991,9,0.32559357015927876
1991,10,-1.143596863333279
1991,11,0.3977980077927583
1991,12,0.44935633120852964
1992,1,-0.962753517338072
1992,2,-1.0480772754691143
1992,3,-1.6809720732323643
1992,4,-1.0298568610508811
1992,5,-0.7290488922219143
1992,6,0.3736037105267448
1992,7,-0.1741566050962683
1992,8,-0.6133692430590653
1992,9,-0.6176302189471625
1992,10,-0.41943820407897103
1992,11,0.7938287549519882
1992,12,0.2727664943999739
1993,1,1.052125205823375
1993,2,-0.05001920474738747
1993,3,-1.621973230734117
1993,4,-1.4060992843052542
1993,5,-1.8660803730090154
1993,6,0.02807411271784672
1993,7,-0.41240029997228517
1993,8,0.2081135982001663
1993,9,-0.5449258709793118
1993,10,0.017124472195503677
1993,11,0.2838171147230963
1993,12,0.8364450023639121
1994,1,1.5466427884380247
1994,2,-0.0020958607085214956
1994,3,-0.11967087823407621
1994,4,-1.4715362167625818
1994,5,-0.3714542134694077
1994,6,-0.7025199954352044
1994,7,0.744394137498166
1994,8,0.6190035377166241
1994,9,1.079083226006293
1994,10,0.7204603596406853
1994,11,0.5447644728476173
1994,12,0.041186977290141674
1995,1,-0.7294644516539234
1995,2,-1.2781761359004875
1995,3,-1.3074148258041376
1995,4,-0.6463590537830745
1995,5,0.6913806224424918
1995,6,0.6688482694533657
1995,7,0.9256664438611649
1995,8,0.39053812419504724
1995,9,0.16096904090382955
1995,10,-0.04043323171228745
1995,11,-0.5783754870473924
1995,12,-0.059486427884380244
1996,1,-1.9947379318215164
1996,2,-1.9745501882978205
1996,3,-1.276376171766739
1996,4,-0.8554726356803991
1996,5,-0.7326755571496112
1996,6,-0.14711006048354228
1996,7,0.19015021438236684
1996,8,0.18909636609661065
1996,9,-0.24589549878543832
1996,10,-0.6192181157175696
